step 0: train loss 4.4501, val loss 4.4402
iter 202: loss 2.4513, time 223.88ms, mfu 99.82%
iter 203: loss 2.4157, time 225.37ms, mfu 100.73%
iter 204: loss 2.4396, time 231.56ms, mfu 101.26%
iter 205: loss 2.4255, time 225.18ms, mfu 102.03%
iter 206: loss 2.4064, time 230.01ms, mfu 102.50%
iter 207: loss 2.4309, time 226.16ms, mfu 103.10%
iter 208: loss 2.4351, time 228.61ms, mfu 103.53%
iter 209: loss 2.4218, time 227.42ms, mfu 103.97%
iter 210: loss 2.4279, time 225.61ms, mfu 104.46%
iter 211: loss 2.4077, time 227.56ms, mfu 104.80%
iter 212: loss 2.4321, time 226.17ms, mfu 105.17%
iter 213: loss 2.4521, time 229.20ms, mfu 105.36%
iter 214: loss 2.4255, time 226.70ms, mfu 105.66%
iter 215: loss 2.4448, time 226.91ms, mfu 105.91%
iter 216: loss 2.4387, time 226.60ms, mfu 106.15%
iter 217: loss 2.4253, time 228.35ms, mfu 106.29%
iter 218: loss 2.4022, time 227.24ms, mfu 106.46%
iter 219: loss 2.4336, time 225.46ms, mfu 106.70%
iter 220: loss 2.4200, time 226.94ms, mfu 106.85%
iter 221: loss 2.4455, time 229.05ms, mfu 106.88%
iter 222: loss 2.4515, time 225.72ms, mfu 107.07%
iter 223: loss 2.4338, time 227.33ms, mfu 107.16%
iter 224: loss 2.4087, time 228.62ms, mfu 107.18%
iter 225: loss 2.4333, time 226.30ms, mfu 107.31%
iter 226: loss 2.3931, time 226.73ms, mfu 107.40%
iter 227: loss 2.4112, time 226.89ms, mfu 107.48%
iter 228: loss 2.4033, time 227.28ms, mfu 107.54%
iter 229: loss 2.4328, time 228.83ms, mfu 107.51%
iter 230: loss 2.3814, time 227.77ms, mfu 107.53%
iter 231: loss 2.4137, time 226.73ms, mfu 107.61%
iter 232: loss 2.3914, time 227.69ms, mfu 107.63%
iter 233: loss 2.3667, time 231.20ms, mfu 107.48%
iter 234: loss 2.4039, time 225.35ms, mfu 107.63%
iter 235: loss 2.4367, time 229.12ms, mfu 107.58%
iter 236: loss 2.3938, time 225.57ms, mfu 107.70%
iter 237: loss 2.4201, time 226.74ms, mfu 107.76%
iter 238: loss 2.3830, time 231.21ms, mfu 107.60%
iter 239: loss 2.4025, time 222.67ms, mfu 107.86%
iter 240: loss 2.4022, time 227.93ms, mfu 107.85%
iter 241: loss 2.4246, time 226.67ms, mfu 107.89%
iter 242: loss 2.4003, time 226.04ms, mfu 107.96%
iter 243: loss 2.4066, time 227.43ms, mfu 107.96%
iter 244: loss 2.4118, time 227.21ms, mfu 107.97%
iter 245: loss 2.4180, time 228.99ms, mfu 107.89%
iter 246: loss 2.3932, time 225.29ms, mfu 108.00%
iter 247: loss 2.3751, time 226.27ms, mfu 108.05%
iter 248: loss 2.3998, time 225.90ms, mfu 108.11%
iter 249: loss 2.4085, time 228.16ms, mfu 108.06%
iter 250: loss 2.4033, time 228.52ms, mfu 107.99%
iter 251: loss 2.3825, time 225.00ms, mfu 108.10%
iter 252: loss 2.3981, time 227.65ms, mfu 108.08%
iter 253: loss 2.3993, time 228.27ms, mfu 108.02%
iter 254: loss 2.3698, time 227.92ms, mfu 107.99%
iter 255: loss 2.3905, time 227.89ms, mfu 107.96%
iter 256: loss 2.3948, time 228.32ms, mfu 107.92%
iter 257: loss 2.3749, time 225.93ms, mfu 107.99%
iter 258: loss 2.3882, time 226.43ms, mfu 108.03%
iter 259: loss 2.3527, time 227.84ms, mfu 108.00%
iter 260: loss 2.3783, time 227.10ms, mfu 108.01%
iter 261: loss 2.4189, time 226.57ms, mfu 108.04%
iter 262: loss 2.4135, time 228.19ms, mfu 108.00%
iter 263: loss 2.3654, time 226.78ms, mfu 108.02%
iter 264: loss 2.3701, time 228.89ms, mfu 107.94%
iter 265: loss 2.3638, time 227.17ms, mfu 107.96%
iter 266: loss 2.3602, time 226.07ms, mfu 108.02%
iter 267: loss 2.3411, time 228.48ms, mfu 107.96%
iter 268: loss 2.3771, time 227.20ms, mfu 107.97%
iter 269: loss 2.3713, time 227.24ms, mfu 107.97%
iter 270: loss 2.3644, time 227.93ms, mfu 107.95%
iter 271: loss 2.3469, time 226.82ms, mfu 107.97%
iter 272: loss 2.3795, time 226.55ms, mfu 108.01%
iter 273: loss 2.3775, time 228.37ms, mfu 107.96%
