step 0: train loss 10.9886, val loss 10.9897
iter 224: loss 6.4886, time 311.46ms, mfu 107.73%
iter 225: loss 6.5024, time 310.36ms, mfu 107.80%
iter 226: loss 6.4487, time 310.04ms, mfu 107.88%
iter 227: loss 6.5108, time 309.97ms, mfu 107.95%
iter 228: loss 6.6346, time 309.94ms, mfu 108.02%
iter 229: loss 6.4023, time 309.53ms, mfu 108.09%
iter 230: loss 6.4797, time 310.18ms, mfu 108.14%
iter 231: loss 6.4348, time 310.08ms, mfu 108.18%
iter 232: loss 6.3018, time 310.31ms, mfu 108.21%
iter 233: loss 6.4991, time 309.35ms, mfu 108.27%
iter 234: loss 6.3423, time 311.10ms, mfu 108.27%
iter 235: loss 6.2817, time 309.94ms, mfu 108.30%
iter 236: loss 6.3649, time 310.30ms, mfu 108.32%
iter 237: loss 6.3215, time 309.81ms, mfu 108.35%
iter 238: loss 6.5345, time 310.36ms, mfu 108.37%
iter 239: loss 6.3288, time 309.65ms, mfu 108.40%
iter 240: loss 6.3738, time 312.04ms, mfu 108.35%
iter 241: loss 6.3749, time 309.60ms, mfu 108.39%
iter 242: loss 6.3738, time 311.93ms, mfu 108.34%
iter 243: loss 6.2195, time 311.79ms, mfu 108.31%
iter 244: loss 6.3316, time 309.98ms, mfu 108.33%
iter 245: loss 6.5093, time 319.60ms, mfu 108.03%
iter 246: loss 6.2943, time 310.07ms, mfu 108.09%
iter 247: loss 6.4314, time 311.50ms, mfu 108.09%
iter 248: loss 6.2684, time 310.85ms, mfu 108.11%
iter 249: loss 6.4176, time 310.01ms, mfu 108.16%
iter 250: loss 6.3950, time 311.02ms, mfu 108.16%
iter 251: loss 6.4597, time 309.81ms, mfu 108.21%
iter 252: loss 6.2710, time 309.49ms, mfu 108.27%
iter 253: loss 6.2702, time 310.70ms, mfu 108.28%
iter 254: loss 6.3066, time 311.98ms, mfu 108.24%
iter 255: loss 6.4647, time 309.59ms, mfu 108.29%
iter 256: loss 6.2482, time 311.00ms, mfu 108.29%
iter 257: loss 6.5853, time 311.01ms, mfu 108.28%
iter 258: loss 6.2841, time 310.84ms, mfu 108.28%
iter 259: loss 6.5271, time 310.67ms, mfu 108.29%
iter 260: loss 6.4613, time 311.95ms, mfu 108.25%
iter 261: loss 6.1737, time 311.17ms, mfu 108.25%
iter 262: loss 6.4156, time 310.84ms, mfu 108.25%
iter 263: loss 6.1038, time 312.14ms, mfu 108.21%
iter 264: loss 6.2531, time 309.25ms, mfu 108.28%
iter 265: loss 6.2045, time 309.98ms, mfu 108.31%
iter 266: loss 6.1852, time 310.70ms, mfu 108.31%
iter 267: loss 6.1971, time 309.98ms, mfu 108.34%
iter 268: loss 6.1412, time 310.90ms, mfu 108.34%
iter 269: loss 6.3644, time 310.82ms, mfu 108.33%
iter 270: loss 6.1346, time 312.20ms, mfu 108.28%
iter 271: loss 6.2397, time 312.69ms, mfu 108.22%
iter 272: loss 6.2859, time 310.09ms, mfu 108.26%
iter 273: loss 6.5198, time 310.94ms, mfu 108.26%
iter 274: loss 6.0891, time 311.07ms, mfu 108.25%
iter 275: loss 6.2226, time 309.40ms, mfu 108.31%
iter 276: loss 6.3399, time 310.22ms, mfu 108.33%
iter 277: loss 6.3643, time 310.19ms, mfu 108.35%
iter 278: loss 6.1812, time 311.42ms, mfu 108.33%
iter 279: loss 6.3514, time 309.70ms, mfu 108.36%
iter 280: loss 6.1090, time 310.54ms, mfu 108.37%
iter 281: loss 6.2770, time 311.43ms, mfu 108.34%
iter 282: loss 6.4113, time 312.89ms, mfu 108.27%
iter 283: loss 6.3373, time 311.77ms, mfu 108.24%
iter 284: loss 6.3368, time 310.31ms, mfu 108.26%
iter 285: loss 6.4114, time 311.92ms, mfu 108.23%
iter 286: loss 6.2269, time 310.07ms, mfu 108.26%
iter 287: loss 6.1346, time 310.03ms, mfu 108.30%
iter 288: loss 6.0736, time 311.68ms, mfu 108.27%
iter 289: loss 6.1952, time 309.57ms, mfu 108.31%
